"filename", "language", "Markdown", "Rust", "C", "Jaw", "Python", "comment", "blank", "total"
"c:\Users\jdale\Working\sharky-vm\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\jdale\Working\sharky-vm\jaw_design\main.jaw", "Jaw", 0, 0, 0, 71, 0, 11, 21, 103
"c:\Users\jdale\Working\sharky-vm\src\main.rs", "Rust", 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\jdale\Working\sharky-vm\src\sharky_app.rs", "Rust", 0, 143, 0, 0, 0, 10, 24, 177
"c:\Users\jdale\Working\sharky-vm\src\sharky_data_types.rs", "Rust", 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\jdale\Working\sharky-vm\src\sharky_instruction_set.rs", "Rust", 0, 83, 0, 0, 0, 8, 11, 102
"c:\Users\jdale\Working\sharky-vm\src\sharky_memory.rs", "Rust", 0, 58, 0, 0, 0, 0, 17, 75
"c:\Users\jdale\Working\sharky-vm\src\sharky_native.rs", "Rust", 0, 44, 0, 0, 0, 5, 8, 57
"c:\Users\jdale\Working\sharky-vm\src\sharky_string.rs", "Rust", 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\jdale\Working\sharky-vm\src\sharky_vm.rs", "Rust", 0, 363, 0, 0, 0, 5, 65, 433
"c:\Users\jdale\Working\sharky-vm\src\sharky_vm\sharky_vm_macros.rs", "Rust", 0, 104, 0, 0, 0, 6, 6, 116
"c:\Users\jdale\Working\sharky-vm\test_native\build.py", "Python", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\jdale\Working\sharky-vm\test_native\main.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 2, 890, 0, 71, 9, 45, 180, 1197
