"filename", "language", "C", "Rust", "Markdown", "Jaw", "Python", "comment", "blank", "total"
"c:\Users\jdale\Working\sharky-vm\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\jdale\Working\sharky-vm\jaw_design\main.jaw", "Jaw", 0, 0, 0, 71, 0, 11, 21, 103
"c:\Users\jdale\Working\sharky-vm\src\main.rs", "Rust", 0, 47, 0, 0, 0, 0, 9, 56
"c:\Users\jdale\Working\sharky-vm\src\sharky_app.rs", "Rust", 0, 129, 0, 0, 0, 0, 34, 163
"c:\Users\jdale\Working\sharky-vm\src\sharky_data_types.rs", "Rust", 0, 126, 0, 0, 0, 9, 21, 156
"c:\Users\jdale\Working\sharky-vm\src\sharky_memory.rs", "Rust", 0, 235, 0, 0, 0, 0, 52, 287
"c:\Users\jdale\Working\sharky-vm\src\sharky_native.rs", "Rust", 0, 44, 0, 0, 0, 5, 8, 57
"c:\Users\jdale\Working\sharky-vm\src\sharky_string.rs", "Rust", 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\jdale\Working\sharky-vm\src\sharky_vm.rs", "Rust", 0, 337, 0, 0, 0, 4, 63, 404
"c:\Users\jdale\Working\sharky-vm\src\sharky_vm\sharky_vm_macros.rs", "Rust", 0, 104, 0, 0, 0, 6, 6, 116
"c:\Users\jdale\Working\sharky-vm\test_native\build.py", "Python", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\jdale\Working\sharky-vm\test_native\main.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 0, 1042, 2, 71, 9, 35, 226, 1385
